Date,MSFT_MC,GE_MC,KO_MC,XOM_MC,CSCO_MC,AAPL_MC,NVDA_MC,MSFT,GE,KO,XOM,CSCO,AAPL,NVDA,SPY,QQQ
3/1/2000,600063.75,491647.9614,139235.1429,190125.9059,358227.1875,17999.4376,1437.9395,36.0115,131.1802,14.323,18.181,36.6411,0.845,0.0895,93.5867,80.9095
4/1/2000,579793.5,471982.043,139389.5056,186484.2286,338130,16481.8971,1399.5433,34.795,125.933,14.3389,17.8327,34.5855,0.774,0.0871,89.9269,75.359
5/1/2000,585906.75,471162.6297,140624.4071,196650.5779,337094.0625,16723.0956,1353.4678,35.1619,125.7144,14.466,18.8049,34.4795,0.785,0.0842,90.0878,73.4376
6/1/2000,566280,477461.8692,140778.7698,206816.9272,331500,15275.9046,1265.1564,33.984,127.3951,14.4818,19.7771,33.9073,0.717,0.0787,88.6399,68.3909
7/1/2000,573680.25,495949.8811,150040.5309,206209.981,350975.625,15999.5001,1286.2743,34.4282,132.328,15.4346,19.719,35.8994,0.751,0.08,93.7878,76.8533
10/1/2000,577863,495745.0278,145255.2877,203326.9864,364028.4375,15718.1019,1328.5102,34.6792,132.2734,14.9423,19.4433,37.2345,0.738,0.0826,94.1095,78.9881
11/1/2000,563062.5,496564.441,150194.8936,203933.9326,353047.5,14914.1069,1274.7555,33.791,132.492,15.4505,19.5014,36.1113,0.7,0.0793,92.9834,75.1455
12/1/2000,544722.75,498203.2676,151892.8832,202720.0402,344138.4375,14019.6625,1242.1186,32.6903,132.9293,15.6251,19.3853,35.2,0.658,0.0773,92.0584,73.4889
13/1/2000,555018.75,503939.1605,149577.4429,207423.8734,352011.5625,15557.3029,1293.9536,33.3082,134.4597,15.3869,19.8351,36.0053,0.73,0.0805,93.3052,77.9207
14/1/2000,577863,494925.6145,150812.3444,203326.9864,356569.6875,16150.2492,1349.6281,34.6792,132.0547,15.514,19.4433,36.4716,0.758,0.084,94.572,79.7396
18/1/2000,593628.75,485092.6553,160537.1936,205754.7713,371280,16713.0456,1407.2225,35.6253,129.4311,16.5144,19.6755,37.9762,0.785,0.0875,93.828,80.1666
19/1/2000,550836,487448.4684,161154.6443,207727.3465,372315.9375,17135.143,1393.7838,33.0572,130.0597,16.5779,19.8641,38.0822,0.804,0.0867,94.5921,81.9769
20/1/2000,545688,478306.8891,162698.2712,203175.2498,372523.125,18250.686,1389.9442,32.7483,127.6206,16.7367,19.4288,38.1033,0.857,0.0865,93.1443,81.1742
21/1/2000,534105,472391.7496,165168.0742,206361.7175,382053.75,17898.9382,1374.5857,32.0531,126.0423,16.9907,19.7335,39.0782,0.84,0.0855,92.9432,82.1904
24/1/2000,521235,452725.8311,160228.4682,204540.8788,361542.1875,17084.8933,1313.1517,31.2808,120.7951,16.4826,19.5594,36.9802,0.802,0.0817,90.309,78.2452
25/1/2000,529278.75,453954.951,162698.2712,204085.6692,371694.375,18049.6873,1301.6328,31.7635,121.1231,16.7367,19.5159,38.0186,0.847,0.081,91.3345,79.4151
26/1/2000,511582.5,463583.057,155751.9503,202720.0402,355326.5625,17718.0394,1247.8781,30.7015,123.692,16.0221,19.3853,36.3444,0.832,0.0776,90.6106,76.2129
27/1/2000,508365,464607.3235,146953.2772,196650.5779,353461.875,17687.8896,1182.6045,30.5084,123.9653,15.117,18.8049,36.1537,0.83,0.0736,90.2486,77.3315
28/1/2000,505791,439205.5122,140624.4071,191491.5349,344345.625,16341.198,1148.0478,30.3539,117.1877,14.466,18.3116,35.2212,0.767,0.0714,87.4334,73.4376
31/1/2000,503860.5,439205.5122,141859.3086,201202.6746,362992.5,16682.8958,1138.4488,30.2381,117.1877,14.593,19.2402,37.1285,0.783,0.0708,89.8062,76.5886
1/2/2000,529922.25,445760.8184,143557.2981,201961.3574,390548.4375,16162.7059,1165.3262,31.8021,118.9367,14.7677,19.3127,39.9471,0.757,0.0725,90.691,78.638
2/2/2000,518982.75,439410.3655,139235.1429,203478.7229,377495.625,15930.9464,1197.963,31.1456,117.2423,14.323,19.4578,38.612,0.746,0.0745,90.7715,79.3126
3/2/2000,533461.5,456413.1909,136456.6146,199988.7821,390548.4375,16656.4544,1217.1611,32.0145,121.779,14.0372,19.1241,39.9471,0.78,0.0757,92.1389,82.4038
